record_id,pmid,doi,title,authors,year,abstract,source_db
R0028,30000028,10.1000/demo.2023.0028,Immunotherapy combination tumour biomarker outcome transcription ii cohort,Silva et al.,2023,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 490 patients. Results: The primary endpoint was met with p=0.036. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0029,30000029,10.1000/demo.2020.0029,Treatment patient biomarker chemotherapy efficacy tumour malignancy response therapy outcome,Patel et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 121 patients. Results: The primary endpoint was met with p=0.074. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0030,30000030,10.1000/demo.2025.0030,Phase response clinical survival x analysis transcription,Clark et al.,2025,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 143 patients. Results: The primary endpoint was met with p=0.021. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0031,30000031,10.1000/demo.2019.0031,Malignancy inhibition therapy solid analysis trial phase,Davis et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 425 patients. Results: The primary endpoint was met with p=0.029. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0032,30000032,10.1000/demo.2025.0032,Trial inhibition x phase response immunotherapy clinical transcription outcome chemotherapy,Watanabe et al.,2025,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 206 patients. Results: The primary endpoint was met with p=0.073. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0033,30000033,10.1000/demo.2024.0033,Analysis immunotherapy solid phase transcription survival,Kobayashi et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 30 patients. Results: The primary endpoint was met with p=0.052. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0034,30000034,10.1000/demo.2020.0034,Therapy trial chemotherapy patient treatment x,Brown et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 289 patients. Results: The primary endpoint was met with p=0.032. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0035,30000035,10.1000/demo.2021.0035,Combination tumour solid biomarker therapy analysis safety response,Wilson et al.,2021,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 237 patients. Results: The primary endpoint was met with p=0.055. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0036,30000036,10.1000/demo.2019.0036,Clinical immunotherapy chemotherapy targeted trial expression efficacy survival solid,Taylor et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 436 patients. Results: The primary endpoint was met with p=0.090. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0037,30000037,10.1000/demo.2019.0037,Trial factor outcome safety malignancy therapy ii clinical solid tumour,Kim et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 53 patients. Results: The primary endpoint was met with p=0.025. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0038,30000038,10.1000/demo.2016.0038,Treatment targeted immunotherapy solid survival safety analysis pathway efficacy,Matsumoto et al.,2016,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 105 patients. Results: The primary endpoint was met with p=0.066. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0039,30000039,10.1000/demo.2021.0039,Clinical survival resistance expression transcription combination malignancy,Patel et al.,2021,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 263 patients. Results: The primary endpoint was met with p=0.014. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0040,30000040,10.1000/demo.2023.0040,Safety expression chemotherapy efficacy resistance biomarker combination patient,Yoshida et al.,2023,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 410 patients. Results: The primary endpoint was met with p=0.086. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0041,30000041,10.1000/demo.2018.0041,Safety treatment resistance pathway targeted malignancy phase expression,Martinez et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 395 patients. Results: The primary endpoint was met with p=0.029. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0042,30000042,10.1000/demo.2020.0042,Factor tumour patient malignancy analysis survival outcome solid treatment biomarker,Nakamura et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 199 patients. Results: The primary endpoint was met with p=0.055. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0043,30000043,10.1000/demo.2018.0043,Analysis safety immunotherapy survival inhibition outcome treatment pathway patient,Garcia et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 182 patients. Results: The primary endpoint was met with p=0.076. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0044,30000044,10.1000/demo.2023.0044,Treatment malignancy pathway patient phase biomarker outcome inhibition analysis trial,Hall et al.,2023,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 400 patients. Results: The primary endpoint was met with p=0.017. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0045,30000045,10.1000/demo.2024.0045,Analysis immunotherapy patient therapy inhibition factor,Tanaka et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 99 patients. Results: The primary endpoint was met with p=0.087. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0046,30000046,10.1000/demo.2019.0046,Solid expression trial outcome safety analysis phase biomarker,Garcia et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 457 patients. Results: The primary endpoint was met with p=0.009. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0047,30000047,10.1000/demo.2015.0047,Targeted factor safety treatment transcription inhibition malignancy,Hall et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 459 patients. Results: The primary endpoint was met with p=0.003. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0048,30000048,10.1000/demo.2017.0048,Immunotherapy solid expression survival phase cohort,Suzuki et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 340 patients. Results: The primary endpoint was met with p=0.061. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0049,30000049,10.1000/demo.2019.0049,Inhibition ii immunotherapy therapy analysis safety survival solid factor outcome,Johnson et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 82 patients. Results: The primary endpoint was met with p=0.070. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0050,30000050,10.1000/demo.2016.0050,Clinical transcription cohort combination biomarker therapy outcome factor resistance trial,Allen et al.,2016,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 464 patients. Results: The primary endpoint was met with p=0.043. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0051,30000051,10.1000/demo.2021.0051,Survival tumour biomarker response efficacy resistance targeted phase chemotherapy,Patel et al.,2021,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 268 patients. Results: The primary endpoint was met with p=0.044. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0052,30000052,10.1000/demo.2020.0052,Outcome factor phase expression malignancy clinical immunotherapy,Thompson et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 202 patients. Results: The primary endpoint was met with p=0.004. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0053,30000053,10.1000/demo.2022.0053,Clinical phase trial patient chemotherapy survival treatment combination,Lee et al.,2022,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 294 patients. Results: The primary endpoint was met with p=0.095. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0054,30000054,10.1000/demo.2021.0054,Safety malignancy survival pathway targeted outcome clinical expression inhibition factor,Suzuki et al.,2021,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 143 patients. Results: The primary endpoint was met with p=0.041. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0055,30000055,10.1000/demo.2025.0055,Pathway combination resistance cohort biomarker efficacy patient trial,Taylor et al.,2025,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 389 patients. Results: The primary endpoint was met with p=0.046. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0056,30000056,10.1000/demo.2018.0056,Trial x efficacy combination safety survival response,Martinez et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 140 patients. Results: The primary endpoint was met with p=0.074. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0057,30000057,10.1000/demo.2023.0057,X outcome solid ii malignancy cohort response clinical,Kato et al.,2023,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 392 patients. Results: The primary endpoint was met with p=0.054. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0058,30000058,10.1000/demo.2015.0058,Survival tumour targeted safety pathway x inhibition immunotherapy,Park et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 270 patients. Results: The primary endpoint was met with p=0.048. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0059,30000059,10.1000/demo.2015.0059,X outcome factor analysis pathway patient immunotherapy targeted transcription,Lee et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 106 patients. Results: The primary endpoint was met with p=0.081. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0060,30000060,10.1000/demo.2018.0060,Safety biomarker chemotherapy outcome clinical malignancy resistance analysis expression targeted,Kim et al.,2018,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 470 patients. Results: The primary endpoint was met with p=0.059. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0061,30000061,10.1000/demo.2024.0061,Chemotherapy efficacy x safety solid targeted,Taylor et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 165 patients. Results: The primary endpoint was met with p=0.066. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0062,30000062,10.1000/demo.2017.0062,Response inhibition biomarker expression survival chemotherapy,Suzuki et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 179 patients. Results: The primary endpoint was met with p=0.004. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0063,30000063,10.1000/demo.2022.0063,Phase clinical patient targeted immunotherapy therapy solid,Yamamoto et al.,2022,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 88 patients. Results: The primary endpoint was met with p=0.055. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0064,30000064,10.1000/demo.2017.0064,Response clinical ii chemotherapy efficacy immunotherapy,Thompson et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 254 patients. Results: The primary endpoint was met with p=0.013. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0065,30000065,10.1000/demo.2019.0065,Pathway expression factor chemotherapy transcription biomarker trial clinical phase inhibition,Watanabe et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 147 patients. Results: The primary endpoint was met with p=0.096. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0066,30000066,10.1000/demo.2015.0066,Immunotherapy transcription safety outcome response pathway resistance targeted,Kato et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 499 patients. Results: The primary endpoint was met with p=0.029. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0067,30000067,10.1000/demo.2025.0067,Factor pathway cohort biomarker trial safety therapy x response,Kobayashi et al.,2025,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 240 patients. Results: The primary endpoint was met with p=0.070. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0068,30000068,10.1000/demo.2023.0068,Factor trial phase patient x analysis resistance inhibition combination,Watanabe et al.,2023,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 241 patients. Results: The primary endpoint was met with p=0.006. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0069,30000069,10.1000/demo.2024.0069,Targeted expression safety transcription solid phase combination tumour ii,Sato et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 480 patients. Results: The primary endpoint was met with p=0.070. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0070,30000070,10.1000/demo.2025.0070,Survival response ii combination inhibition clinical biomarker,Smith et al.,2025,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 145 patients. Results: The primary endpoint was met with p=0.099. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0071,30000071,10.1000/demo.2016.0071,Pathway survival ii resistance patient phase biomarker,Ito et al.,2016,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 271 patients. Results: The primary endpoint was met with p=0.025. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0072,30000072,10.1000/demo.2021.0072,Resistance efficacy tumour factor phase biomarker trial treatment safety inhibition,Silva et al.,2021,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 401 patients. Results: The primary endpoint was met with p=0.031. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0073,30000073,10.1000/demo.2025.0073,Expression combination pathway cohort trial patient efficacy,Kato et al.,2025,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 263 patients. Results: The primary endpoint was met with p=0.093. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0074,30000074,10.1000/demo.2024.0074,Patient safety biomarker transcription trial efficacy pathway,Suzuki et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 227 patients. Results: The primary endpoint was met with p=0.099. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0075,30000075,10.1000/demo.2015.0075,Immunotherapy trial x expression outcome resistance clinical inhibition tumour biomarker,Takahashi et al.,2015,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 68 patients. Results: The primary endpoint was met with p=0.047. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0076,30000076,10.1000/demo.2024.0076,Targeted factor trial therapy combination analysis outcome treatment pathway,Nakamura et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 346 patients. Results: The primary endpoint was met with p=0.008. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0077,30000077,10.1000/demo.2016.0077,Safety targeted survival x expression response,Anderson et al.,2016,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 492 patients. Results: The primary endpoint was met with p=0.004. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0078,30000078,10.1000/demo.2019.0078,Biomarker tumour malignancy resistance treatment immunotherapy therapy response,Garcia et al.,2019,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 119 patients. Results: The primary endpoint was met with p=0.009. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0079,30000079,10.1000/demo.2025.0079,Immunotherapy tumour malignancy expression targeted phase clinical efficacy inhibition,Matsumoto et al.,2025,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 491 patients. Results: The primary endpoint was met with p=0.029. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0080,30000080,10.1000/demo.2016.0080,Immunotherapy ii targeted biomarker survival phase expression patient,Johnson et al.,2016,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 226 patients. Results: The primary endpoint was met with p=0.085. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0081,30000081,10.1000/demo.2021.0081,Immunotherapy ii survival patient inhibition therapy analysis phase,Suzuki et al.,2021,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 319 patients. Results: The primary endpoint was met with p=0.087. Conclusions: TF-X inhibition shows promise in NSCLC.,PubMed
R0082,30000082,10.1000/demo.2022.0082,Safety clinical malignancy chemotherapy cohort outcome targeted solid,Allen et al.,2022,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 377 patients. Results: The primary endpoint was met with p=0.076. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0083,30000083,10.1000/demo.2025.0083,Ii clinical expression transcription immunotherapy cohort,Patel et al.,2025,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 76 patients. Results: The primary endpoint was met with p=0.091. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0084,30000084,10.1000/demo.2017.0084,Clinical combination cohort resistance treatment phase response,Clark et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 497 patients. Results: The primary endpoint was met with p=0.083. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0085,30000085,10.1000/demo.2020.0085,Expression factor tumour safety malignancy therapy,Yamamoto et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 463 patients. Results: The primary endpoint was met with p=0.081. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0086,30000086,10.1000/demo.2021.0086,Combination x expression cohort therapy efficacy safety phase,Kim et al.,2021,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 451 patients. Results: The primary endpoint was met with p=0.064. Conclusions: TF-X inhibition shows promise in breast cancer.,PubMed
R0087,30000087,10.1000/demo.2025.0087,Inhibition chemotherapy combination trial patient malignancy targeted factor survival,Patel et al.,2025,Background: This study evaluates transcription factor X inhibition. Methods: A single-arm trial of 495 patients. Results: The primary endpoint was met with p=0.070. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0088,30000088,10.1000/demo.2017.0088,Ii pathway x outcome malignancy combination,Müller et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 228 patients. Results: The primary endpoint was met with p=0.046. Conclusions: TF-X inhibition shows promise in RCC.,PubMed
R0089,30000089,10.1000/demo.2024.0089,Treatment biomarker targeted x pathway chemotherapy patient,Clark et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 46 patients. Results: The primary endpoint was met with p=0.069. Conclusions: TF-X inhibition shows promise in CRC.,PubMed
R0090,30000090,10.1000/demo.2022.0090,X therapy cohort combination targeted outcome transcription analysis,Lewis et al.,2022,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 127 patients. Results: The primary endpoint was met with p=0.097. Conclusions: TF-X inhibition shows promise in melanoma.,PubMed
R0091,30000091,10.1000/demo.2025.0091,Inhibition transcription clinical trial malignancy tumour immunotherapy solid factor combination,Kim et al.,2025,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 330 patients. Results: The primary endpoint was met with p=0.022. Conclusions: TF-X inhibition shows promise in CRC.,Europe PMC
R0092,30000092,10.1000/demo.2017.0092,Inhibition phase tumour outcome combination patient response x treatment clinical,Nakamura et al.,2017,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 213 patients. Results: The primary endpoint was met with p=0.079. Conclusions: TF-X inhibition shows promise in CRC.,Europe PMC
R0093,30000093,10.1000/demo.2020.0093,Phase transcription tumour efficacy biomarker resistance x,Kato et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 273 patients. Results: The primary endpoint was met with p=0.045. Conclusions: TF-X inhibition shows promise in breast cancer.,Europe PMC
R0094,30000094,10.1000/demo.2024.0094,Resistance malignancy chemotherapy transcription efficacy therapy treatment ii expression,Robinson et al.,2024,Background: This study evaluates transcription factor X inhibition. Methods: A rct of 61 patients. Results: The primary endpoint was met with p=0.100. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC
R0095,30000095,10.1000/demo.2025.0095,Survival expression factor outcome trial chemotherapy tumour clinical treatment,Kobayashi et al.,2025,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 349 patients. Results: The primary endpoint was met with p=0.064. Conclusions: TF-X inhibition shows promise in RCC.,Europe PMC
R0096,30000096,10.1000/demo.2021.0096,Ii expression resistance chemotherapy biomarker x survival efficacy targeted combination,Wilson et al.,2021,Background: This study evaluates transcription factor X inhibition. Methods: A cohort of 250 patients. Results: The primary endpoint was met with p=0.046. Conclusions: TF-X inhibition shows promise in CRC.,Europe PMC
R0097,30000097,10.1000/demo.2020.0097,Analysis biomarker efficacy x trial patient safety therapy phase,Clark et al.,2020,Background: This study evaluates transcription factor X inhibition. Methods: A case-control of 108 patients. Results: The primary endpoint was met with p=0.069. Conclusions: TF-X inhibition shows promise in melanoma.,Europe PMC
